date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 18:49:18 UTC,ETH/USD,1873.65,1870.39,1872.67,1874.95,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:50:35 UTC,ETH/USD,1874.22,1870.45,1872.64,1874.83,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:51:20 UTC,ETH/USD,1875.7,1870.26,1872.72,1875.19,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:52:19 UTC,ETH/USD,1875.51,1870.05,1872.79,1875.52,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:53:18 UTC,ETH/USD,1874.91,1870.04,1872.79,1875.55,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:54:21 UTC,ETH/USD,1875.33,1869.98,1872.86,1875.74,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:55:25 UTC,ETH/USD,1875.23,1869.91,1872.99,1876.07,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:56:18 UTC,ETH/USD,1875.04,1869.96,1873.15,1876.34,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:57:21 UTC,ETH/USD,1875.53,1870.19,1873.34,1876.5,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:58:20 UTC,ETH/USD,1876.0,1870.34,1873.52,1876.71,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 18:59:16 UTC,ETH/USD,1875.14,1870.45,1873.66,1876.88,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 19:00:56 UTC,ETH/USD,1875.91,1870.59,1873.8,1877.0,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 19:01:20 UTC,ETH/USD,1875.76,1870.98,1874.05,1877.12,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 19:02:21 UTC,ETH/USD,1875.37,1871.42,1874.25,1877.09,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 19:03:16 UTC,ETH/USD,1874.75,1871.7,1874.41,1877.12,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 19:04:21 UTC,ETH/USD,1875.18,1872.14,1874.59,1877.04,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 19:05:25 UTC,ETH/USD,1875.19,1872.57,1874.74,1876.9,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 19:06:20 UTC,ETH/USD,1875.28,1872.91,1874.87,1876.82,HOLD,0.0,962.78,0.0,,,962.78
2026-07-16 19:07:16 UTC,ETH/USD,1872.95,1873.33,1874.95,1876.56,"ACHAT (bande basse touchée, 1873.33)",1,0.0,0.51353064,1872.95,,961.82
2026-07-16 19:08:18 UTC,ETH/USD,1872.31,1873.16,1874.92,1876.68,HOLD,1.0,0.0,0.51353064,1872.95,,961.49
2026-07-16 19:09:17 UTC,ETH/USD,1873.51,1873.13,1874.91,1876.69,HOLD,1.0,0.0,0.51353064,1872.95,,962.1
2026-07-16 19:10:37 UTC,ETH/USD,1873.16,1873.0,1874.88,1876.76,HOLD,1.0,0.0,0.51353064,1872.95,,961.93
2026-07-16 19:11:18 UTC,ETH/USD,1873.32,1872.81,1874.78,1876.75,HOLD,1.0,0.0,0.51353064,1872.95,,962.01
2026-07-16 19:12:22 UTC,ETH/USD,1874.71,1872.83,1874.69,1876.55,VENTE (retour à la moyenne atteint),0,961.76,0.0,,0.09,961.76
2026-07-16 19:13:18 UTC,ETH/USD,1873.45,1872.78,1874.65,1876.52,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:14:20 UTC,ETH/USD,1873.0,1872.58,1874.56,1876.55,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:15:31 UTC,ETH/USD,1872.56,1872.32,1874.43,1876.54,HOLD,0.0,961.76,0.0,,,961.76
2026-07-16 19:16:20 UTC,ETH/USD,1872.41,1872.04,1874.29,1876.54,HOLD,0.0,961.76,0.0,,,961.76
